codigo,nombre,cantidad,precio_eur
75304-1,Darth Vader Helmet,27,82.6363
675419-1,Death Star - UCS,22,867.76
75412-1,Death Trooper & Night Trooper Battle Pack,59,14.8678
40816-1,Decorative Easter Egg,138,20.6529
42201-1,Deep-Sea Research Submarine,29,28.0909
10914-1,Deluxe Brick Box,13,37.1818
76444-1,Diagon Alley Wizarding Shops,39,140.4876
71425-1,Diddy Kong's Mine Cart Ride - Expansion Set,2,90.9008
71514-1,Dino Jet,4,70.2396
77985-1,Dinosaur Fossils: Triceratops,29,70.2396
76969-1,Dinosaur Fossils: Triceratops Skull,38,31.3967
76968-1,Dinosaur Fossils: Tyrannosaurus rex,10,247.9255
76965-1,Dinosaur Missions: Stegosaurus Discovery,10,45.4463
10463-1,Dinosaur Spidey-Rex vs. Green Goblin,3,14.0413
10480-1,Discovery Forest with Wild Animals,8,56.1901
040622-1,Disney 100th Celebration,44,41.314
043212-1,Disney Celebration Train,13,28.9173
21341-1,Disney Hocus Pocus: The Sanderson Sisters' Cottage,12,206.6032
21357-1,Disney Pixar Luxo Jr.,26,49.5785
43246-1,Disney Princess Market Adventure,13,70.2396
76469-1,Dobby the Free Elf,34,24.7851
76421-1,Dobby the House-Elf,6,41.314
30652-1,Doctor Strange's Interdimensional Portal polybag,2,4.124
77237-1,Dodge Challenger SRT Hellcat,74,20.6529
30639-1,Dog Park and Scooter polybag,3,3.2975
41741-1,Dog Rescue Van,1,28.9173
42677-1,Dog Treats Bakery,6,21.4793
42635-1,Dog-Grooming Car,124,8.2562
010075-1,Dolphin,1,28.9173
40377-1,Donald Duck,1,20.6529
71424-1,Donkey Kong's Tree House,2,47.9256
60233-1,Donut Shop Opening,3,99.1653
60452-1,Donut Truck,50,14.0413
60407-1,Double-Decker Sightseeing Bus,19,21.4793
60423-1,Downtown Streetcar,29,63.6281
41454-1,Dr. Fox Laboratory,1,45.4463
30677-1,Draco in the Forbidden Forest polybag,400,3.2975
40617-1,Draco Malfoy & Cedric Diggory,3,20.6529
80103-1,Dragon Boat Race,19,99.1653
371826-1,Dragon Spinjitzu Battle Pack,26,14.0413
271819-1,Dragon Stone Shrine,5,107.4297
42103-1,Dragster,17,20.6529
10314-1,Dried Flower Centrepiece,46,49.5785
60497-1,Drive-Through Car Wash,37,38.0083
75381-1,Droideka,17,61.9752
42107-1,Ducati Panigale V4 R,84,99.1653
42202-1,Ducati Panigale V4 S Motorcycle,26,140.4876
30724-1,Dumbledore's Office with Harry Potter paper bag,524,3.2975
60494-1,Dump Truck & Front End Loader,29,82.6363
21348-1,Dungeons & Dragons: Red Dragon's Tale,21,305.7768
77070-1,Durrr Burger,31,9.9091
77076-1,Durrr Burger Restaurant,34,41.314
40808-1,Easter Bunny and Chick Egg Hunt,131,12.3884
40764-1,Easter Bunny Surprise,10,20.6529
30690-1,Easter Egg Chick Painting Fun paper bag / polybag,3,3.2975
72151-1,Eevee,137,42.9669
40797-1,Eeyore,4,14.8678
271809-1,Egalt the Master Dragon,1,66.1074
10320-1,Eldorado Fortress,1,264.4545
171796-1,Elemental Dragon vs. The Empress Mech,8,107.4297
009206-1,Elephant Pencil Holder,2,20.6529
75682-1,Elphaba & Glinda Figures,33,39.6611
75687-1,Elphaba's Retreat,12,18.1735
10418-1,Elsa & Bruni in the Enchanted Forest,13,20.6529
43281-1,Elsa's Ice Castle & Snow Ride Adventure,6,35.5289
43244-1,Elsa's Ice Palace,17,82.6363
75689-1,Emerald City & Kiamo Ko Castle,4,57.843
75685-1,Emerald City Wall Art,8,123.9586
60451-1,Emergency Ambulance,31,14.0413
60403-1,Emergency Ambulance,38,20.6529
42174-1,Emirates Team New Zealand AC75 Yacht,37,99.1653
675352-1,Emperor's Throne Room Diorama,1,99.1653
43261-1,Encanto Mini House,10,14.0413
76470-1,Enchanted Flying Ford Anglia,26,57.843
76266-1,Endgame Final Battle,17,90.9008
675353-1,Endor Speeder Chase Diorama,9,82.6363
76343-1,Epic Battle: Hulkbuster vs. The Hulk,9,35.5289
376334-1,Epic Battle: Spider-Man vs. Sandman,18,20.6529
76176-1,Escape from The Ten Rings,2,33.0496
60486-1,EV Supercar,40,7.4297
40619-1,EVE & WALL-E,3,20.6529
40516-1,Everyone is Awesome,24,37.1818
21596-1,Evoker Village Attack,19,62.8016
31136-1,Exotic Parrot,36,18.1735
60470-1,Explorer Train,28,148.752
952309-1,Explorer with Water Scooter paper bag,80,2.0579
60337-1,Express Passenger Train,28,123.9586
77258-1,F1 ACADEMY LEGO Race Car,122,19.8264
71049-3,F1 Collectible Race Cars (Box of 36),54,103.2975
71049-1,F1 Collectible Race Cars (Complete Random Set of 1 Race Car),344,3.2975
60493-1,F1 Display Truck with Audi F1 Race Car,101,32.2231
60442-1,F1 Driver with McLaren Race Car,47,9.0826
60444-1,F1 Garage & Mercedes-AMG & Alpine Cars,29,55.3636
60443-1,F1 Pit Stop & Pit Crew with Ferrari Car,34,20.6529
10445-1,F1 Team Racing Cars & Drivers,11,31.3967
60445-1,F1 Truck with RB20 & AMR24 F1 Cars,23,70.2396
60464-1,F1 Williams Racing & Haas F1 Race Cars,42,14.0413
41843-1,Family Christmas Tree,1,289.2478
10467-1,Family House,7,49.5785
31388-1,Family of Koalas,1,115.6942
42673-1,Family Vacation Beach Resort,8,90.9008
30713-1,Fancy Restaurant with Bingo paper bag,96,3.2975
76316-1,Fantastic Four vs. Galactus Construction Figure,6,41.314
42632-1,Farm Animal Vet Clinic,1,24.7851
31391-1,Fashion Bag with Storage,20,20.6529
42231-1,Fast & Furious Dodge Charger R/T,109,107.4297
42229-1,Fast & Furious Mitsubishi Eclipse,105,57.843
77260-1,Fast & Furious Toyota Supra MK4,65,19.8264
42204-1,Fast & Furious Toyota Supra MK4,18,45.4463
76448-1,Fawkes: Dumbledore's Phoenix,57,20.6529
77261-1,Ferrari 499P,75,20.6529
30709-1,Ferrari 499P - Hypercar paper bag / polybag,839,3.2975
76914-1,Ferrari 812 Competizione,21,28.9173
42143-1,Ferrari Daytona SP3,13,371.8924
11375-1,Ferrari F2004 & Michael Schumacher,58,63.6281
76934-1,Ferrari F40,56,22.3058
75890-1,Ferrari F40 Competizione,19,22.3058
42212-1,Ferrari FXX K,73,42.9669
77242-1,Ferrari SF-24,86,19.0
42207-1,Ferrari SF-24 F1 Car,95,165.2809
77254-1,Ferrari SF90 XX Stradale,76,20.6529
40678-1,Festival Calendar,35,24.7851
10271-1,Fiat 500 {Bright Light Yellow Edition},143,148.752
30701-1,Field Flowers paper bag / polybag,1,4.124
31379-1,Fierce Dinosaur,7,18.1735
31381-1,Fierce Shark with a Treasure Chest,14,24.7851
43020-1,FIFA World Cup Official Trophy,43,132.2231
60279-1,Fire Hazard Truck,1,10.7355
60373-1,Fire Rescue Boat,14,14.8678
60411-1,Fire Rescue Helicopter,14,7.4297
30368-1,Fire Rescue Water Scooter polybag,117,3.2975
60414-1,Fire Station with Fire Truck,10,53.7107
60482-1,Fire Truck,35,7.4297
60463-1,Fire Truck,38,13.2149
10473-1,Fire Truck with Hose and Firefighter,5,21.4793
21593-1,First Night Adventure,15,20.6529
911951-1,First Order Stormtrooper foil pack,3,4.124
10443-1,First Time at the Airport,10,20.6529
10449-1,First Time: Visit to the Doctor,7,28.0909
31146-1,Flatbed Truck with Helicopter,3,14.8678
21366-1,Floating Sea Otters,128,78.5041
31390-1,Floral Art Painting,19,20.6529
31383-1,Floral Perfume Bottle,11,21.4793
10345-1,Flower Arrangement,2,111.5619
10280-1,Flower Bouquet,115,49.5785
30413-1,Flower Cart polybag,56,3.2975
30659-1,Flower Garden polybag,74,4.124
30721-1,Flower Stand with Roses paper bag,99,3.2975
11509-1,Flowering Cactus,18,21.4793
31149-1,Flowers in Watering Can,31,24.7851
77051-1,Fly with Dodo Airlines,1,27.2645
76424-1,Flying Ford Anglia,69,12.3884
76475-1,Forbidden Forest: Expecto Patronum,34,21.4793
76432-1,Forbidden Forest: Magical Creatures,17,31.3967
75967-1,Forbidden Forest: Umbridge's Encounter,12,41.314
42213-1,Ford Bronco SUV,9,42.9669
11376-1,Ford Model T,111,95.033
10265-1,Ford Mustang,50,165.2809
76920-1,Ford Mustang Dark Horse,89,19.0
42690-1,Forest Tea Party,2,7.4297
42137-1,Formula E Porsche 99X Electric,13,49.5785
80118-1,Fortune Firecracker,1,82.6363
40864-1,Fortune Master,2,33.0496
10359-1,Fountain Garden,10,82.6363
71858-1,Four Weapons Blacksmith,35,74.3719
71508-1,Fox Guardian Mech,4,57.843
40422-1,Frankenstein,3,16.5207
10362-1,French Café {Cafe},18,66.1074
42663-1,Friendship Camper Van Adventure,6,42.9669
42642-1,Friendship Movie Night,7,10.7355
42659-1,Friendship Road-Trip Travel Car,18,14.0413
42652-1,Friendship Tree House Hangout,18,49.5785
60488-1,Fries Food Truck,131,14.8678
40630-1,Frodo & Gollum,2,24.7851
10462-1,Frozen Creative Box with Elsa and Olaf,8,14.8678
30717-1,Fun Halloween Skeleton paper bag,115,3.2975
42686-1,Fun Indoor Playground,7,43.7934
42676-1,Fun Water Park Day,7,20.6529
10453-1,Funfair,6,37.1818
30389-1,Fuzzy & Mushroom Platform - Expansion Set polybag,33,3.2975
71405-1,Fuzzy Flippers - Expansion Set,1,20.6529
11215-1,Gabby's Brick-Built Cat Friends,9,35.5289
10788-1,Gabby's Dollhouse,10,82.6363
10796-1,Gabby's Kitty Care Ear,3,37.1818
60446-1,Galactic Spaceship,8,74.3719
80119-1,Galloping Horses Canvas,1,99.1653
72046-1,Game Boy,479,53.7107
60484-1,Gaming Car,27,7.4297
30722-1,Garden Bunny House paper bag,123,3.2975
21597-1,Ghast Station,19,70.2396
10274-1,Ghostbusters ECTO-1,16,247.9255
40871-1,Gift Box Celebration,1,20.6529
40642-1,Gingerbread Ornaments,45,12.3884
75683-1,Glinda & Elphaba's Dormitory,5,49.5785
75688-1,Glinda's Wedding Day,8,28.9173
75681-1,"Glinda, Elphaba & Nessarose at Shiz Uni",20,21.4793
30719-1,Go-Kart Racer paper bag,106,3.2975
30589-1,Go-Kart Racer polybag,92,4.124
60400-1,Go-Karts and Race Drivers,43,7.4297
11384-1,Golden Retriever Puppy,193,99.1653
77058-1,Goldie's Cozy House,2,14.8678
10461-1,Grandpa Pig's Garden and Greenhouse,6,57.843
11216-1,Grannies with Bingo and Bluey,9,10.7355
11024-1,Gray Baseplate,42,10.7355
31393-1,Gray Wolf,1,49.5785
11023-1,Green Baseplate {Plate Included is Bright Green},171,6.6033
10460-1,Green Building Plate,178,9.0826
76284-1,Green Goblin Construction Figure,9,24.7851
75446-1,Grogu (Mandalorian Apprentice),39,90.9008
75403-1,Grogu with Hover Pram,33,70.2396
75443-1,Grogu's Homestead,33,14.8678
42640-1,Guinea Pig Playground,14,7.4297
76443-1,Hagrid & Harry's Motorcycle Ride,30,41.314
76459-1,Hagrid & Harry's Privet Drive Escape,6,14.0413
76428-1,Hagrid's Hut: An Unexpected Visit,3,53.7107
42662-1,Hair Salon and Accessories Shop,2,37.1818
40721-1,Halloween Barn,85,18.1735
10349-1,Happy Plants,19,14.8678
60422-1,Harbor,17,107.4297
31201-1,Harry Potter,1,132.2231
76393-1,Harry Potter & Hermione Granger,25,132.2231
10273-1,Haunted House,68,289.2478
31167-1,Haunted Mansion,41,64.4545
40638-1,Heart Ornament,222,12.3884
42679-1,Heartlake City Bunny Hotel,9,18.1735
42618-1,Heartlake City Café {Cafe},1,21.4793
42649-1,Heartlake City Candy Store,10,20.6529
42680-1,Heartlake City Convenience Store,24,14.8678
42685-1,Heartlake City Fashion Show,4,37.1818
42689-1,Heartlake City Friends Club House,8,64.4545
42704-1,Heartlake City Grand Hotel,7,105.7768
42644-1,Heartlake City Ice Cream Truck,1,14.0413
41447-1,Heartlake City Park,3,33.0496
41728-1,Heartlake Downtown Diner,1,24.7851
42163-1,Heavy-Duty Bulldozer,44,7.4297
40711-1,Hedgehog Picnic Date,3,14.8678
76425-1,Hedwig at 4 Privet Drive,27,16.5207
243272-1,Heihei,87,28.9173
60462-1,"Helicopter, Fire Truck & Submarine Remix",8,41.314
,"Hermione Granger, Harry Potter, Series 2 (Complete Set with Stand and Accessories)",4,4.124
40518-1,High-Speed Train,1,20.6529
21060-1,Himeji Castle,29,113.2148
76457-1,Hogsmeade Village - Collectors' Edition,18,330.5701
76388-1,Hogsmeade Village Visit,16,99.1653
75969-1,Hogwarts Astronomy Tower,20,99.1653
71043-1,Hogwarts Castle,33,355.3635
76419-1,Hogwarts Castle and Grounds,16,123.9586
76442-1,Hogwarts Castle: Charms Class,9,14.0413
76441-1,Hogwarts Castle: Dueling Club,27,24.7851
76473-1,Hogwarts Castle: East Wing,28,177.6776
76445-1,Hogwarts Castle: Herbology Class,37,35.5289
76463-1,Hogwarts Castle: Hospital Wing,10,70.2396
76460-1,Hogwarts Castle: Sorting Hat Ceremony,18,11.562
76454-1,Hogwarts Castle: The Main Tower,7,177.6776
76423-1,Hogwarts Express & Hogsmeade Station,2,165.2809
76405-1,Hogwarts Express - Collectors' Edition,6,578.5039
76474-1,Hogwarts Herbology Plants,42,70.2396
76462-1,Hogwarts House Crest,35,37.1818
76383-1,Hogwarts Moment: Potions Class,8,37.1818
76382-1,Hogwarts Moment: Transfiguration Class,56,33.0496
75966-1,Hogwarts Room of Requirement,2,24.7851
76402-1,Hogwarts: Dumbledore's Office,21,90.9008
31208-1,Hokusai - The Great Wave,20,82.6363
60454-1,Holiday Camper Van,24,20.6529
41726-1,Holiday Camping Trip,3,20.6529
10361-1,Holiday Express Train,1,115.6942
21330-1,Home Alone,3,272.7189
675405-1,Home One Starcruiser,32,57.843
10450-1,Hopsy's Castle Game,2,28.9173
42695-1,Horse & Baby Foal Trailer,16,21.4793
42651-1,Horse and Pet Vet Clinic,1,45.4463
42634-1,Horse and Pony Trailer,1,20.6529
42688-1,Horse Stable and Riding Academy,14,57.843
60485-1,Hot Rod,24,7.4297
30735-1,Hot Rod Car paper bag,215,3.2975
76210-1,Hulkbuster,1,495.8593
42692-1,Ice Cream & Balloon Stand,4,7.4297
10458-1,Ice Cream Trip with Bluey,7,22.3058
41715-1,Ice-Cream Truck,2,16.5207
31389-1,Iconic Ferris Wheel,11,63.6281
31387-1,Iconic Pirate Ship,16,70.2396
