id,proveedor,pais,tipo,codigo,nombre,tema,categoria_bricklink,cantidad,precio_eur_compra,costo_clp,precio_cliente_num,precio,imagen,plazo_entrega,origen
brickshop_holland_21595-1,brickshop_holland,NL,set_nuevo,21595-1,The Ender Dragon,Minecraft,Minecraft,19,41.314,46272,64780,$64.780,https://img.bricklink.com/ItemImage/ST/0/21595-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_21279-1,brickshop_holland,NL,set_nuevo,21279-1,The Enderman Tower,Minecraft,Minecraft,29,74.3719,83297,116615,$116.615,https://img.bricklink.com/ItemImage/ST/0/21279-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_31217-1,brickshop_holland,NL,set_nuevo,31217-1,The Fauna Collection - Tiger,Art,Art,37,41.314,46272,64780,$64.780,https://img.bricklink.com/ItemImage/ST/0/31217-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_71846-1,brickshop_holland,NL,set_nuevo,71846-1,The Fire Knight Mech,City,Ninjago,48,82.6363,92553,129574,$129.574,https://img.bricklink.com/ItemImage/ST/0/71846-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_21316-1,brickshop_holland,NL,set_nuevo,21316-1,The Flintstones,Ideas,Ideas,48,123.9586,138834,194367,$194.367,https://img.bricklink.com/ItemImage/ST/0/21316-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_75414-1,brickshop_holland,NL,set_nuevo,75414-1,The Force Burner Snowspeeder,Star Wars,Star Wars,43,36.3554,40718,57005,$57.005,https://img.bricklink.com/ItemImage/ST/0/75414-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_21588-1,brickshop_holland,NL,set_nuevo,21588-1,The Fox,Minecraft,Minecraft,16,33.0496,37016,51822,$51.822,https://img.bricklink.com/ItemImage/ST/0/21588-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_21178-1,brickshop_holland,NL,set_nuevo,21178-1,The Fox Lodge,Minecraft,Minecraft,2,14.8678,16652,23313,$23.313,https://img.bricklink.com/ItemImage/ST/0/21178-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_21256-1,brickshop_holland,NL,set_nuevo,21256-1,The Frog House,Minecraft,Minecraft,17,49.5785,55528,77739,$77.739,https://img.bricklink.com/ItemImage/ST/0/21256-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_21273-1,brickshop_holland,NL,set_nuevo,21273-1,The Ghast Balloon Village Attack,Minecraft,Minecraft,34,49.5785,55528,77739,$77.739,https://img.bricklink.com/ItemImage/ST/0/21273-1.t1.png,35 a 40 días hábiles,Importación Europa
